x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, nis, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
20.0818, 10.3863, 0.9683, 4.7567, 20.1735, 10.3423, 1.1816, 4.6532, L, 1.0413, 0.0541, 0.1044, 0.6967, 0.3896
20.1271, 10.6247, 0.8457, 4.7765, 20.1867, 10.5813, 0.9149, 4.6751, R, 2.6135, 0.0541, 0.1040, 0.6931, 0.3877
20.1663, 10.8640, 0.7223, 4.7934, 20.2420, 10.8597, 0.7870, 4.7796, L, 2.1285, 0.0544, 0.1034, 0.6896, 0.3857
20.1993, 11.1041, 0.5979, 4.8073, 20.2705, 11.1206, 0.6628, 4.8501, R, 4.9034, 0.0546, 0.1029, 0.6861, 0.3838
20.2261, 11.3449, 0.4727, 4.8181, 20.3049, 11.3576, 0.5514, 4.8549, L, 0.0144, 0.0549, 0.1024, 0.6826, 0.3818
20.2466, 11.5861, 0.3469, 4.8257, 20.2448, 11.6114, 0.1084, 4.8365, R, 9.5858, 0.0546, 0.1019, 0.6796, 0.3799
20.2608, 11.8275, 0.2204, 4.8303, 20.3181, 11.8464, 0.1082, 4.8284, L, 5.2217, 0.0547, 0.1014, 0.6763, 0.3780
20.2687, 12.0692, 0.0935, 4.8316, 20.3484, 12.0802, 0.1507, 4.8585, R, 4.1913, 0.0550, 0.1009, 0.6730, 0.3762
20.2701, 12.3108, -0.0339, 4.8297, 20.3324, 12.3723, -0.0427, 4.9508, L, 0.9677, 0.0550, 0.1006, 0.6698, 0.3746
20.2652, 12.5522, -0.1615, 4.8245, 20.2795, 12.6125, -0.3652, 4.8931, R, 2.7353, 0.0548, 0.1003, 0.6668, 0.3728
20.2540, 12.7933, -0.2894, 4.8161, 20.3071, 12.8462, -0.4045, 4.8641, L, 2.1165, 0.0548, 0.1000, 0.6638, 0.3711
20.2363, 13.0339, -0.4173, 4.8043, 20.2965, 13.0763, -0.5139, 4.8276, R, 2.1320, 0.0548, 0.0996, 0.6607, 0.3693
20.2122, 13.2738, -0.5453, 4.7892, 20.2631, 13.2839, -0.6437, 4.7522, L, 0.9807, 0.0548, 0.0991, 0.6577, 0.3676
20.1818, 13.5129, -0.6731, 4.7707, 20.2259, 13.5190, -0.7482, 4.7447, R, 1.3433, 0.0547, 0.0987, 0.6546, 0.3659
20.1449, 13.7509, -0.8008, 4.7489, 20.2051, 13.7790, -0.8496, 4.7648, L, 1.4010, 0.0548, 0.0983, 0.6516, 0.3642
