x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
-24.3470, -6.7182, -3.2417, 3.5414, -24.3426, -6.7122, -3.5075, 3.1640, L, 0.0993, 0.0875, 0.4552, 0.4551
-24.5066, -6.5390, -3.1429, 3.6287, -24.4962, -6.5653, -3.2189, 3.1898, R, 0.0992, 0.0874, 0.4546, 0.4551
-24.6612, -6.3554, -3.0418, 3.7135, -24.5924, -6.4393, -3.0937, 3.0863, L, 0.0991, 0.0874, 0.4540, 0.4557
-24.8107, -6.1676, -2.9385, 3.7955, -24.7208, -6.2760, -2.9185, 3.1338, R, 0.0991, 0.0875, 0.4534, 0.4563
-24.9550, -5.9759, -2.8330, 3.8748, -24.9266, -6.0258, -3.0426, 3.3924, L, 0.0990, 0.0874, 0.4529, 0.4564
-25.0940, -5.7802, -2.7254, 3.9513, -25.0467, -5.8364, -2.8499, 3.4671, R, 0.0989, 0.0873, 0.4523, 0.4565
-25.2276, -5.5808, -2.6158, 4.0249, -25.1911, -5.6552, -2.8543, 3.4879, L, 0.0988, 0.0873, 0.4519, 0.4567
-25.3556, -5.3778, -2.5043, 4.0956, -25.3341, -5.4805, -2.8020, 3.4995, R, 0.0986, 0.0873, 0.4516, 0.4571
-25.4779, -5.1713, -2.3911, 4.1632, -25.5006, -5.2210, -2.8600, 3.7268, L, 0.0985, 0.0873, 0.4516, 0.4571
-25.5946, -4.9615, -2.2761, 4.2278, -25.6177, -5.0625, -2.7536, 3.6572, R, 0.0984, 0.0873, 0.4517, 0.4574
-25.7055, -4.7486, -2.1596, 4.2893, -25.7443, -4.8903, -2.7323, 3.6268, L, 0.0983, 0.0875, 0.4520, 0.4581
-25.8105, -4.5327, -2.0415, 4.3476, -25.8543, -4.7018, -2.5318, 3.6660, R, 0.0982, 0.0878, 0.4522, 0.4588
-25.9096, -4.3139, -1.9220, 4.4028, -25.9861, -4.4198, -2.5498, 3.9267, L, 0.0981, 0.0878, 0.4527, 0.4588
-26.0027, -4.0925, -1.8012, 4.4547, -26.0867, -4.2306, -2.0857, 3.9629, R, 0.0981, 0.0880, 0.4523, 0.4589
-26.0897, -3.8686, -1.6793, 4.5034, -26.1919, -3.8937, -2.0970, 4.3289, L, 0.0981, 0.0879, 0.4523, 0.4584
-26.1706, -3.6423, -1.5562, 4.5487, -26.2581, -3.6834, -1.6829, 4.3481, R, 0.0981, 0.0878, 0.4517, 0.4579
-26.2453, -3.4138, -1.4322, 4.5908, -26.2922, -3.3895, -1.5955, 4.5420, L, 0.0980, 0.0877, 0.4512, 0.4574
-26.3138, -3.1833, -1.3073, 4.6295, -26.3338, -3.1612, -1.2926, 4.5633, R, 0.0979, 0.0876, 0.4506, 0.4568
-26.3760, -2.9510, -1.1816, 4.6649, -26.3631, -2.9173, -1.2290, 4.5998, L, 0.0977, 0.0875, 0.4501, 0.4562
-26.4319, -2.7170, -1.0553, 4.6970, -26.4114, -2.7027, -1.0863, 4.5666, R, 0.0976, 0.0874, 0.4495, 0.4557
-26.4815, -2.4814, -0.9284, 4.7256, -26.4939, -2.5758, -1.1361, 4.3016, L, 0.0975, 0.0874, 0.4490, 0.4556
-26.5247, -2.2446, -0.8011, 4.7509, -26.5397, -2.3501, -1.0172, 4.3363, R, 0.0974, 0.0875, 0.4486, 0.4555
-26.5616, -2.0065, -0.6734, 4.7728, -26.6026, -2.1480, -1.0389, 4.2988, L, 0.0973, 0.0877, 0.4484, 0.4555
-26.5921, -1.7674, -0.5456, 4.7914, -26.6232, -1.9221, -0.8723, 4.3308, R, 0.0972, 0.0879, 0.4481, 0.4556
-26.6161, -1.5275, -0.4176, 4.8066, -26.6370, -1.6386, -0.8180, 4.5051, L, 0.0970, 0.0880, 0.4480, 0.4552
-26.6338, -1.2869, -0.2895, 4.8185, -26.6255, -1.4325, -0.4066, 4.4597, R, 0.0969, 0.0881, 0.4475, 0.4550
-26.6451, -1.0459, -0.1616, 4.8271, -26.6390, -1.1831, -0.3938, 4.5292, L, 0.0968, 0.0883, 0.4471, 0.4547
-26.6500, -0.8044, -0.0339, 4.8324, -26.6599, -0.9731, -0.2348, 4.4884, R, 0.0967, 0.0886, 0.4466, 0.4544
-26.6485, -0.5628, 0.0935, 4.8344, -26.6828, -0.6865, -0.2526, 4.6543, L, 0.0966, 0.0887, 0.4464, 0.4540
-26.6406, -0.3212, 0.2206, 4.8332, -26.6635, -0.4519, 0.1138, 4.6575, R, 0.0965, 0.0888, 0.4459, 0.4535
-26.6264, -0.0797, 0.3471, 4.8287, -26.6256, -0.1066, 0.1783, 4.9537, L, 0.0963, 0.0887, 0.4454, 0.4530
-26.6059, 0.1615, 0.4730, 4.8212, -26.5982, 0.1346, 0.4404, 4.9302, R, 0.0962, 0.0886, 0.4448, 0.4524
-26.5792, 0.4022, 0.5983, 4.8104, -26.5825, 0.4595, 0.4352, 5.1386, L, 0.0961, 0.0886, 0.4444, 0.4522
-26.5462, 0.6423, 0.7227, 4.7967, -26.5588, 0.7076, 0.5307, 5.1105, R, 0.0960, 0.0885, 0.4439, 0.4519
-26.5069, 0.8817, 0.8463, 4.7799, -26.5632, 1.0007, 0.4787, 5.2111, L, 0.0959, 0.0886, 0.4438, 0.4518
-26.4616, 1.1201, 0.9690, 4.7601, -26.5099, 1.2841, 0.5839, 5.2691, R, 0.0958, 0.0889, 0.4436, 0.4520
-26.4101, 1.3575, 1.0905, 4.7374, -26.4692, 1.4983, 0.5987, 5.1383, L, 0.0957, 0.0890, 0.4437, 0.4518
-26.3526, 1.5936, 1.2110, 4.7118, -26.4199, 1.7069, 0.7867, 4.9947, R, 0.0957, 0.0891, 0.4437, 0.4515
